S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
1,BCA,Accessible Route,Barrier Free Accessibility,Areas,Zone,N.A,Space,ARC,IfcSpace,*ACCESSIBLEROUTE,SGPset_SpaceDimension,Width,Length,mm,N.A,N.A,"1500, 1800",IfcSpaceACCESSIBLEROUTE,okay,Space,Space,okay
2,BCA,Accessible Route,Barrier Free Accessibility,Areas,Zone,N.A,Space,ARC,IfcSpace,*ACCESSIBLEROUTE,SGPset_Space,BarrierFreeAccessibility,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcSpaceACCESSIBLEROUTE,okay,Space,Space,okay
3,BCA,Beam,Beam Span Type,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_Beam,BeamSpanType,Label,N.A,N.A,"Single, End, Interior, Cantilever",N.A,IfcBeamN.A,skip,Beam,Beam,okay
4,BCA,Beam,Bottom Left,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,BottomLeft,Label,N.A,N.A,N.A,3H25,IfcBeamN.A,skip,Beam,Beam,okay
5,BCA,Beam,Bottom Middle,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,BottomMiddle,Label,N.A,N.A,N.A,3H32+3H25+3H20,IfcBeamN.A,skip,Beam,Beam,okay
6,BCA,Beam,Bottom Right,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,BottomRight,Label,N.A,N.A,N.A,3H25,IfcBeamN.A,skip,Beam,Beam,okay
7,BCA,Beam,Construction Method,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_Beam,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcBeamN.A,skip,Beam,Beam,okay
8,BCA,Beam,Depth,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamDimension,Depth,Length,mm,N.A,N.A,600,IfcBeamN.A,skip,Beam,Beam,okay
9,BCA,Beam,Left Connection Detail,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_SteelConnection,LeftConnectionDetail,Label,N.A,N.A,N.A,Detail 1,IfcBeamN.A,skip,Beam,Stee,check
10,BCA,Beam,Left Connection Type,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_SteelConnection,LeftConnectionType,Label,N.A,N.A,"Pinned, Fixed, Free",N.A,IfcBeamN.A,skip,Beam,Stee,check
11,BCA,Beam,Mark,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamDimension,Mark,Label,N.A,N.A,N.A,"HB1, VB1, B1",IfcBeamN.A,skip,Beam,Beam,okay
12,BCA,Beam,Material Grade,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_Material,MaterialGrade,Label,N.A,Name,"C12/15, C20/25, C30/37, C32/40, C35/45, C40/50, C50/60, C55/67, C60/75, C70/85, C80/95, S235, S275, S355, S460",N.A,IfcBeamN.A,skip,Beam,Mate,check
13,BCA,Beam,Mechanical Connection Type,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_Beam,MechanicalConnectionType,Label,N.A,N.A,"telescopic beam connector, grounted sleeves, lotus-root system",N.A,IfcBeamN.A,skip,Beam,Beam,okay
14,BCA,Beam,Member Section,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamDimension,MemberSection,Label,N.A,N.A,N.A,"RHS600x30x4, CHS500x3.0, 254x254x63 kg/m",IfcBeamN.A,skip,Beam,Beam,okay
15,BCA,Beam,Prefabricated Reinforcement Cage,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,PrefabricatedReinforcementCage,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcBeamN.A,skip,Beam,Beam,okay
16,BCA,Beam,ReferTo2DDetail,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_Beam,ReferTo2DDetail,Label,N.A,N.A,N.A,Dwg Number,IfcBeamN.A,skip,Beam,Beam,okay
17,BCA,Beam,Reinforcement Steel Grade,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_Beam,ReinforcementSteelGrade,Label,N.A,N.A,"500A, 500B, 500C, 600A, 600B, 600C",N.A,IfcBeamN.A,skip,Beam,Beam,okay
18,BCA,Beam,Right Connection Detail,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_SteelConnection,RightConnectionDetail,Label,N.A,N.A,N.A,Detail 1,IfcBeamN.A,skip,Beam,Stee,check
19,BCA,Beam,Right Connection Type,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_SteelConnection,RightConnectionType,Label,N.A,N.A,"Pinned, Fixed, Free",N.A,IfcBeamN.A,skip,Beam,Stee,check
20,BCA,Beam,Section Fabrication Method,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_Beam,SectionFabricationMethod,Label,N.A,N.A,"Hot rolled, Cold formed",N.A,IfcBeamN.A,skip,Beam,Beam,okay
21,BCA,Beam,Side Bar,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,SideBar,Label,N.A,N.A,N.A,H13-250,IfcBeamN.A,skip,Beam,Beam,okay
22,BCA,Beam,Splice Connection,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_SteelConnection,SpliceConnection,Label,N.A,N.A,N.A,Detail 3,IfcBeamN.A,skip,Beam,Stee,check
23,BCA,Beam,Stirrups Left,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,StirrupsLeft,Label,N.A,N.A,N.A,4H13-300,IfcBeamN.A,skip,Beam,Beam,okay
24,BCA,Beam,Stirrups Middle,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,StirrupsMiddle,Label,N.A,N.A,N.A,4H13-300,IfcBeamN.A,skip,Beam,Beam,okay
25,BCA,Beam,Stirrups Right,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,StirrupsRight,Label,N.A,N.A,N.A,4H13-300,IfcBeamN.A,skip,Beam,Beam,okay
26,BCA,Beam,Stirrups Type Left,Structural Framing,Beam,Concrete Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,StirrupsTypeLeft,Label,N.A,N.A,"Normal, U, C, CL, Torsion",N.A,IfcBeamN.A,skip,Beam,Beam,okay
27,BCA,Beam,Stirrups Type Middle,Structural Framing,Beam,Concrete Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,StirrupsTypeMiddle,Label,N.A,N.A,"Normal, U, C, CL, Torsion",N.A,IfcBeamN.A,skip,Beam,Beam,okay
28,BCA,Beam,Stirrups Type Right,Structural Framing,Beam,Concrete Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,StirrupsTypeRight,Label,N.A,N.A,"Normal, U, C, CL, Torsion",N.A,IfcBeamN.A,skip,Beam,Beam,okay
29,BCA,Beam,Top Left,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,TopLeft,Label,N.A,N.A,N.A,3H32+3H25,IfcBeamN.A,skip,Beam,Beam,okay
30,BCA,Beam,Top Middle,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,TopMiddle,Label,N.A,N.A,N.A,3H25,IfcBeamN.A,skip,Beam,Beam,okay
31,BCA,Beam,Top Right,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamReinforcement,TopRight,Label,N.A,N.A,N.A,3H32+3H25,IfcBeamN.A,skip,Beam,Beam,okay
32,BCA,Beam,Width,Structural Framing,Beam,Beam,Beam,STR,IfcBeam,N.A,SGPset_BeamDimension,Width,Length,mm,N.A,N.A,300,IfcBeamN.A,skip,Beam,Beam,okay
33,BCA,Borehole,Depth,Generic Models,Object,N.A,Object,STR,IfcBuildingElementProxy,*BOREHOLE,SGPset_BuildingElementProxyDimension,Depth,Length,mm,N.A,N.A,14560,IfcBuildingElementProxyBOREHOLE,okay,BuildingElementProxy,BuildingElementProxy,okay
34,BCA,Borehole,Mark,Generic Models,Object,N.A,Object,STR,IfcBuildingElementProxy,*BOREHOLE,SGPset_BuildingElementProxyDimension,Mark,Label,N.A,N.A,N.A,BH1,IfcBuildingElementProxyBOREHOLE,okay,BuildingElementProxy,BuildingElementProxy,okay
35,BCA,Borehole,SHD Level SPT MoreThan 100N,Generic Models,Object,N.A,Object,STR,IfcBuildingElementProxy,*BOREHOLE,SGPset_BuildingElementProxyDimension,SHDLevel_SPT_MoreThan_100N,Real,SHD m,N.A,N.A,-27.5,IfcBuildingElementProxyBOREHOLE,okay,BuildingElementProxy,BuildingElementProxy,okay
36,BCA,Borehole,SHD Level SPT MoreThan 60N,Generic Models,Object,N.A,Object,STR,IfcBuildingElementProxy,*BOREHOLE,SGPset_BuildingElementProxyDimension,SHDLevel_SPT_MoreThan_60N,Real,SHD m,N.A,N.A,-15,IfcBuildingElementProxyBOREHOLE,okay,BuildingElementProxy,BuildingElementProxy,okay
37,BCA,Borehole,Termination Level,Generic Models,Object,N.A,Object,STR,IfcBuildingElementProxy,*BOREHOLE,SGPset_BuildingElementProxyDimension,TerminationLevel,Real,SHD m,N.A,N.A,-50.45,IfcBuildingElementProxyBOREHOLE,okay,BuildingElementProxy,BuildingElementProxy,okay
38,BCA,Borehole,Top Level,Generic Models,Object,N.A,Object,STR,IfcBuildingElementProxy,*BOREHOLE,SGPset_BuildingElementProxyDimension,TopLevel,Real,SHD m,N.A,N.A,1.8,IfcBuildingElementProxyBOREHOLE,okay,BuildingElementProxy,BuildingElementProxy,okay
